# Accelerometer Data File
# Started @Sat Jul 02 13:44:34 EDT 2016
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.0047900393m/sec^2; Max Range: 156.96; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: Gravity
# gravity NOT filtered out
# Accuracy: HIGH
-9.557 1.072 -0.402 40
-9.442 1.072 -0.651 40
-9.385 1.034 -1.015 40
-9.251 0.995 -1.493 40
-9.174 1.053 -2.221 40
-8.944 1.053 -2.873 41
-8.848 1.206 -3.83 40
-8.829 1.264 -4.328 40
-8.389 1.149 -4.75 40
-8.178 1.072 -5.42 40
-7.527 0.957 -5.918 40
-7.086 0.957 -6.454 40
-6.742 0.976 -7.067 41
-6.033 0.766 -7.527 40
-5.631 0.766 -8.121 40
-5.19 0.497 -8.465 40
-4.596 0.325 -8.848 40
-4.386 0.172 -9.117 40
-3.428 0.0 -9.174 41
-3.39 -0.057 -9.557 40
-2.509 -0.402 -9.576 41
-2.681 -0.268 -9.825 39
-2.011 -0.478 -9.691 40
-1.608 -0.536 -9.806 40
-1.628 -0.306 -10.055 41
-1.13 -0.383 -9.864 40
-1.072 -0.497 -9.94 40
-0.957 -0.383 -9.94 40
-0.881 -0.344 -9.825 40
-1.091 -0.363 -9.979 40
-0.957 -0.325 -9.979 41
-0.919 -0.363 -9.864 40
-0.689 -0.287 -9.883 40
-0.842 -0.287 -9.883 40
-1.091 -0.21 -9.959 40
-0.919 -0.191 -9.902 40
-0.995 -0.095 -9.94 40
-0.976 -0.153 -9.883 41
-0.842 -0.076 -9.825 40
-0.861 -0.057 -9.787 40
-0.632 -0.095 -9.787 40
-0.746 0.038 -9.844 40
-0.804 0.095 -9.844 40
-0.881 0.0 -10.036 40
-0.823 -0.21 -10.093 41
-0.689 -0.134 -10.036 40
-0.976 0.134 -9.902 40
-1.244 0.134 -9.691 40
-0.746 0.248 -9.672 40
-0.938 0.287 -9.959 40
-1.187 0.057 -9.73 40
-1.34 -0.095 -9.653 41
-1.283 -0.038 -9.749 40
-1.379 -0.095 -10.017 40
-1.302 -0.134 -10.132 40
-1.398 -0.095 -10.036 40
-1.321 -0.038 -10.093 40
-1.053 -0.038 -9.959 40
-1.13 0.019 -9.844 41
-1.244 0.306 -9.691 40
-1.225 0.21 -9.768 40
-0.938 0.153 -9.921 40
-0.995 0.172 -10.189 40
-1.149 0.153 -10.017 40
-1.187 0.191 -9.921 41
-1.11 0.153 -9.864 40
-0.919 0.095 -9.806 40
-0.957 0.172 -9.806 40
-1.091 0.172 -9.844 40
-0.804 0.134 -9.864 40
-0.823 0.306 -9.921 40
-0.823 0.21 -9.844 41
-0.823 0.306 -9.902 40
-0.861 0.248 -9.864 40
-0.823 0.153 -9.844 40
-0.766 0.134 -9.883 40
-0.651 0.134 -9.902 41
-0.708 0.057 -9.94 39
-0.632 0.057 -9.902 41
-0.574 0.019 -9.94 40
-0.536 0.0 -9.94 40
-0.555 -0.076 -9.94 40
-0.536 0.0 -9.883 40
-0.555 -0.057 -9.806 40
-0.459 0.0 -9.921 40
-0.44 -0.019 -10.017 41
-0.421 -0.057 -9.921 40
-0.344 -0.038 -9.902 40
-0.325 -0.057 -9.979 40
-0.21 -0.076 -9.921 40
-0.191 0.095 -9.806 40
-0.287 -0.057 -9.844 40
-0.057 0.038 -9.844 41
0.019 0.019 -9.979 40
-0.038 0.019 -10.036 40
0.153 0.057 -10.017 40
0.287 -0.114 -9.979 41
0.248 -0.057 -9.959 40
0.478 -0.076 -9.959 40
0.459 -0.114 -10.093 40
0.612 -0.134 -10.055 40
0.938 -0.21 -9.749 40
0.689 -0.172 -9.902 40
0.766 -0.191 -10.074 41
1.321 -0.153 -9.883 40
1.417 -0.172 -9.864 40
1.513 -0.057 -9.864 40
1.877 -0.076 -9.768 40
2.451 -0.172 -9.442 40
2.662 -0.268 -9.251 40
3.026 -0.287 -9.289 40
3.256 -0.593 -9.366 40
3.505 -0.497 -9.366 40
4.386 -1.647 -9.289 41
4.711 -1.589 -9.27 40
4.52 -1.321 -9.078 40
4.922 -1.206 -8.638 40
5.42 -1.359 -8.542 40
5.42 -1.8 -8.408 41
5.631 -1.8 -7.24 40
6.569 -1.762 -7.45 40
7.278 -1.474 -6.742 40
7.412 -1.034 -5.209 40
7.967 -0.938 -5.152 40
8.255 -0.976 -4.616 41
8.619 -0.689 -3.715 40
9.308 -0.402 -3.275 40
9.672 -0.306 -2.777 40
9.691 -0.095 -2.106 40
9.346 -0.268 -1.896 40
9.059 -0.612 -1.513 40
9.059 -0.593 -1.283 41
9.385 -0.517 -0.938 40
8.983 -0.402 -0.823 40
9.825 -0.44 -1.091 40
9.749 -0.287 -0.9 40
9.615 -0.248 -0.823 40
9.672 -0.038 -0.421 40
9.749 0.019 0.306 40
9.615 0.038 0.248 40
9.481 0.019 0.555 40
9.595 -0.019 0.21 41
9.615 0.057 -0.21 40
9.921 -0.095 -0.076 40
9.576 0.21 -0.095 40
9.595 0.114 -0.21 40
9.615 0.019 -0.191 40
9.902 -0.134 -0.402 40
9.883 -0.076 -0.593 41
9.806 -0.191 -0.478 40
9.595 -0.057 -0.421 40
9.538 -0.153 -0.459 40
9.73 -0.076 -0.517 40
9.595 -0.172 -0.459 40
9.5 -0.134 -0.459 40
9.71 -0.172 -0.44 41
9.595 -0.21 -0.344 40
9.576 -0.134 -0.268 40
9.672 -0.268 -0.421 40
9.634 -0.229 -0.363 40
9.576 -0.268 -0.287 40
9.71 -0.21 -0.421 41
9.615 -0.153 -0.44 40
9.5 -0.21 -0.383 40
9.576 -0.21 -0.517 40
9.653 -0.21 -0.536 40
9.634 -0.248 -0.612 40
9.691 -0.287 -0.574 40
9.653 -0.287 -0.632 41
9.73 -0.229 -0.574 40
9.691 -0.248 -0.612 40
9.787 -0.248 -0.842 40
9.73 -0.21 -0.632 40
9.615 -0.268 -0.306 40
9.595 -0.268 -0.191 40
9.576 -0.306 -0.229 41
9.5 -0.248 -0.172 40
9.672 -0.21 -0.287 40
9.653 -0.248 -0.363 40
9.653 -0.325 -0.383 40
9.768 -0.268 -0.459 40
9.653 -0.287 -0.517 40
9.653 -0.287 -0.478 41
9.576 -0.248 -0.421 40
9.576 -0.287 -0.402 40
9.71 -0.306 -0.402 40
9.71 -0.363 -0.344 40
9.691 -0.287 -0.402 40
9.691 -0.287 -0.402 40
9.595 -0.248 -0.402 41
9.576 -0.229 -0.402 40
9.557 -0.344 -0.363 40
9.653 -0.325 -0.536 40
9.634 -0.344 -0.593 40
9.634 -0.383 -0.632 40
9.634 -0.363 -0.612 40
9.653 -0.402 -0.555 41
9.615 -0.402 -0.612 40
9.615 -0.478 -0.612 40
9.634 -0.44 -0.612 40
9.576 -0.421 -0.689 40
9.519 -0.44 -0.67 40
9.576 -0.421 -0.612 41
9.672 -0.459 -0.67 40
9.749 -0.517 -0.708 40
9.672 -0.459 -0.612 40
9.538 -0.459 -0.555 40
9.538 -0.383 -0.612 40
9.653 -0.287 -0.536 40
9.5 -0.344 -0.689 41
9.615 -0.287 -0.536 40
9.691 -0.306 -0.555 40
9.595 -0.363 -0.478 40
9.557 -0.402 -0.287 40
9.538 -0.363 -0.421 40
9.595 -0.287 -0.44 40
9.653 -0.268 -0.363 41
9.653 -0.344 -0.287 40
9.634 -0.268 -0.229 40
9.71 -0.268 -0.191 40
9.634 -0.344 -0.172 40
9.73 -0.383 0.076 40
9.691 -0.44 0.134 41
9.538 -0.459 0.191 40
9.595 -0.459 0.287 40
9.595 -0.478 0.153 40
9.653 -0.497 0.325 40
9.557 -0.497 0.517 41
9.864 -0.938 1.091 40
9.461 -0.995 1.838 40
9.27 -1.091 2.26 40
8.868 -1.264 2.681 40
8.848 -1.244 2.7 40
9.002 -1.321 3.026 40
8.868 -1.264 3.275 40
8.944 -1.264 3.256 40
8.925 -1.187 3.6 41
8.868 -1.168 3.926 40
8.465 -1.13 4.213 40
8.37 -1.321 4.386 40
8.427 -1.436 4.692 40
8.446 -1.283 4.769 40
8.216 -1.264 4.788 41
8.312 -1.436 5.228 40
7.833 -1.608 5.612 40
7.508 -1.513 5.669 40
7.412 -1.685 5.707 40
7.987 -1.57 5.784 40
6.914 -1.398 6.32 40
6.167 -1.168 6.224 40
6.32 -1.513 6.531 41
2.528 -1.513 9.902 40
-1.608 0.402 3.983 40
-3.064 1.264 6.416 40
-3.371 1.972 7.527 40
-3.198 2.011 8.504 40
-2.719 1.838 8.734 41
-2.681 1.455 8.714 40
-2.585 1.034 9.538 40
-2.413 0.823 9.902 40
-2.24 0.344 8.925 40
-1.704 0.134 9.155 40
-1.819 0.191 9.174 41
-1.819 -0.114 9.404 40
-1.302 -0.229 9.519 40
-1.244 -0.153 9.768 40
-0.995 -0.229 9.576 40
-0.823 -0.057 9.806 40
-0.861 0.076 9.806 41
-0.919 0.153 9.653 40
-0.861 0.191 9.749 40
-0.804 0.248 9.768 40
-0.957 0.191 9.615 40
-0.995 0.134 9.787 40
-0.823 0.191 9.825 40
-0.689 0.21 9.883 41
-0.957 0.268 9.71 40
-0.861 0.21 9.768 40
-0.766 0.191 9.825 40
-0.785 0.172 9.653 40
-0.861 0.114 9.634 40
-0.785 0.019 9.691 40
-0.746 -0.019 9.653 41
-0.708 -0.057 9.615 40
-0.632 -0.038 9.615 40
-0.708 0.019 9.749 40
-0.727 0.057 9.653 40
-0.708 0.038 9.71 40
-0.785 0.038 9.768 40
-0.651 0.0 9.691 41
-0.785 0.057 9.672 40
-0.766 0.248 9.998 40
-0.612 0.172 9.71 40
-0.861 0.229 10.055 40
-1.244 0.344 10.189 40
-0.976 0.172 9.519 40
-0.44 -0.076 9.959 41
-0.823 0.421 10.936 40
-1.493 0.076 10.151 40
-1.762 -0.095 9.595 40
-1.359 -0.114 10.151 40
-1.244 0.0 9.768 40
-1.321 0.095 9.385 40
-1.11 0.21 10.017 41
-1.13 0.038 10.036 40
-1.13 0.0 9.691 40
-0.804 -0.287 10.074 40
-1.053 -0.497 10.285 40
-1.091 -0.632 9.844 40
-0.995 -0.517 9.653 40
-1.628 -0.306 9.366 41
-1.244 -0.574 8.868 40
-1.493 -0.555 8.734 40
-1.934 -0.344 8.216 40
-1.302 0.248 11.951 40
-1.225 0.517 10.955 40
-1.551 0.172 10.266 41
-1.417 0.038 9.634 40
-1.762 -0.402 9.308 40
-1.321 0.21 9.097 40
-1.302 0.21 9.366 40
-1.053 0.057 10.572 40
-1.13 0.612 10.17 40
-1.513 0.976 9.021 41
-1.302 0.593 9.442 40
-1.206 0.632 9.385 40
-0.881 0.555 9.519 40
-0.881 0.363 9.653 40
-0.804 0.153 9.768 40
-0.804 0.134 9.73 41
-0.861 -0.019 9.615 40
-0.766 -0.057 9.691 40
-0.976 -0.153 9.653 40
-1.091 -0.229 9.825 40
-1.015 -0.038 9.749 40
-1.053 0.019 9.71 40
-0.861 0.038 9.825 41
-0.976 0.0 9.73 40
-1.034 0.057 9.73 40
-1.168 0.038 9.71 40
-1.149 -0.076 9.749 41
-1.187 0.134 9.595 39
-1.168 0.21 9.576 40
-1.474 0.191 9.519 41
-1.417 0.248 9.442 40
-1.417 0.21 9.557 40
-1.474 0.191 9.634 40
-1.379 0.153 9.844 40
-1.379 0.172 9.634 40
-1.417 0.172 9.615 41
-1.321 0.191 9.71 40
-1.359 0.134 9.844 40
-1.244 0.153 9.883 40
-1.264 0.114 9.787 41
-1.168 0.153 9.672 39
-1.149 0.134 9.634 40
-1.11 0.153 9.595 41
-1.206 0.095 9.615 40
-1.283 0.21 9.634 40
-1.187 0.248 9.691 40
-1.206 0.153 9.768 40
-1.225 0.248 9.71 40
-1.187 0.287 9.634 40
-1.379 0.306 9.538 41
-1.359 0.344 9.519 40
-1.244 0.268 9.615 40
-0.995 0.191 9.768 40
-1.015 0.191 9.902 40
-1.149 0.229 9.864 40
-1.283 0.325 9.787 41
-1.302 0.363 9.653 40
-1.244 0.344 9.595 40
-1.264 0.344 9.634 40
-1.283 0.306 9.595 40
-1.11 0.268 9.691 40
-1.168 0.306 9.653 40
-1.149 0.287 9.73 41
-1.244 0.383 9.634 40
-1.283 0.421 9.634 40
-1.168 0.402 9.672 40
-1.13 0.421 9.71 40
-1.149 0.402 9.73 41
-1.091 0.478 9.71 40
-1.072 0.517 9.73 40
-1.187 0.44 9.653 40
-1.149 0.44 9.634 40
-1.13 0.402 9.653 40
-1.034 0.344 9.768 40
-0.957 0.402 9.71 40
-1.11 0.363 9.73 41
-1.015 0.421 9.73 40
-0.976 0.459 9.653 40
-0.976 0.44 9.653 40
-1.015 0.44 9.672 40
-1.072 0.44 9.691 40
-1.091 0.421 9.71 41
-1.091 0.363 9.73 40
-1.11 0.421 9.653 40
-1.11 0.402 9.691 40
-1.072 0.344 9.71 40
-1.168 0.383 9.653 40
-1.244 0.478 9.519 40
-1.149 0.497 9.653 41
-1.187 0.421 9.73 40
-1.053 0.383 9.806 40
-1.034 0.402 9.672 40
-1.053 0.344 9.691 40
-1.015 0.363 9.73 40
-1.034 0.363 9.672 40
-1.187 0.459 9.672 41
-1.168 0.459 9.653 40
-1.149 0.325 9.71 40
-1.053 0.306 9.672 40
-0.938 0.325 9.749 40
-0.976 0.344 9.749 40
-0.995 0.421 9.71 40
-0.938 0.478 9.653 41
-0.938 0.459 9.595 40
-0.976 0.459 9.576 40
-0.976 0.383 9.557 40
-1.034 0.363 9.615 40
-1.015 0.325 9.73 40
-1.11 0.287 9.806 40
-1.187 0.268 9.864 40
-1.149 0.229 9.902 40
-1.13 0.268 9.806 41
-1.091 0.325 9.73 40
-0.995 0.363 9.691 40
-1.034 0.383 9.538 40
-1.034 0.421 9.557 40
-1.034 0.344 9.5 40
-0.995 0.363 9.557 40
-0.995 0.268 9.634 40
-1.015 0.306 9.787 41
-1.149 0.248 9.73 40
-1.13 0.306 9.787 40
-0.976 0.287 9.749 40
-0.938 0.248 9.768 40
-0.823 0.287 9.71 40
-0.861 0.248 9.73 40
-0.727 0.248 9.691 41
-0.766 0.268 9.73 40
-0.804 0.229 9.806 40
-0.919 0.268 9.749 40
-0.881 0.229 9.71 40
-0.9 0.229 9.538 40
-0.957 0.21 9.576 40
-0.976 0.114 9.787 41
-0.976 0.095 9.749 40
-0.976 0.134 9.691 40
-0.9 0.095 9.653 40
-0.804 0.095 9.691 40
-0.823 0.095 9.787 40
-0.881 0.057 9.844 40
-1.149 0.363 9.232 41
-1.072 0.134 9.595 40
-0.881 -0.038 10.055 40
-0.823 0.0 9.883 40
-0.842 0.076 9.844 40
-0.842 0.057 9.749 40
-0.938 0.134 9.615 40
-0.938 0.095 9.653 41
-0.957 0.306 8.944 40
-1.11 0.172 9.385 40
-0.842 -0.248 10.132 40
-0.804 -0.134 10.074 40
-0.938 -0.057 9.959 40
-0.842 0.0 9.883 40
-0.785 0.076 9.634 41
-0.708 0.114 9.576 40
-0.632 0.057 9.557 40
-0.651 0.057 9.538 40
-0.689 0.076 9.576 40
-0.727 0.095 9.653 40
-0.785 0.057 9.691 40
-0.861 0.057 9.806 41
-0.919 0.076 9.787 40
-1.015 0.114 9.787 40
-0.861 0.057 9.825 40
-0.842 0.057 9.768 40
-0.938 0.095 9.73 40
-0.957 0.134 9.806 40
-0.938 0.229 9.423 40
-0.976 0.114 9.979 41
-0.881 0.114 10.036 40
-0.823 0.114 9.921 40
-0.766 0.114 9.844 40
-0.67 0.0 9.902 40
-0.689 0.057 9.864 40
-0.842 0.095 9.768 40
-0.842 0.095 9.672 41
-0.842 0.076 9.672 40
-0.785 0.095 9.71 40
-0.766 0.057 9.73 40
-0.67 0.076 9.691 40
-0.632 0.019 9.825 40
-0.574 0.019 9.768 40
-0.593 0.095 9.768 41
-0.632 0.114 9.749 40
-0.67 0.114 9.749 40
-0.651 0.114 9.691 40
-0.612 0.057 9.615 40
-0.574 0.134 9.73 40
-0.555 0.153 9.749 40
-0.555 0.114 9.825 41
-0.536 0.153 9.787 40
-0.612 0.095 9.806 40
-0.67 0.134 9.749 40
-0.67 0.172 9.73 40
-0.727 0.229 9.634 40
-0.612 0.172 9.672 40
-0.632 0.172 9.749 41
-0.555 0.057 9.73 40
-0.517 0.114 9.672 40
-0.593 0.095 9.71 40
-0.67 0.114 9.787 40
-0.727 0.153 9.825 40
-0.881 0.287 9.634 41
-0.823 0.191 9.71 40
-0.727 0.134 9.73 40
-0.689 0.153 9.71 40
-0.651 0.057 9.844 40
-0.727 0.038 9.979 40
-0.727 0.076 9.883 40
-0.612 0.076 9.921 41
-0.612 0.057 9.806 40
-0.766 0.076 9.749 40
-0.766 0.114 9.691 40
-0.785 0.153 9.634 40
-0.823 0.191 9.576 40
-0.861 0.191 9.672 40
-0.746 0.153 9.672 41
-0.651 0.172 9.691 40
-0.67 0.21 9.691 40
-0.766 0.229 9.672 40
-0.785 0.21 9.749 40
-0.766 0.229 9.71 40
-0.861 0.21 9.691 40
-0.842 0.248 9.538 41
-0.708 0.172 9.538 40
-0.727 0.153 9.653 40
-0.727 0.134 9.749 40
-0.842 0.459 9.825 40
-0.746 0.057 10.247 40
-0.785 0.153 10.036 40
-0.766 0.153 9.825 40
-0.766 0.172 9.73 40
-0.766 0.21 9.634 41
-0.823 0.191 9.672 40

# Completed @Sat Jul 02 13:45:06 EDT 2016
