# Accelerometer Data File
# Started @Sat Jul 02 13:46:35 EDT 2016
#
#
# sensor Vendor: ST Micro
# sensor Name: LIS3DH 3-axis Accelerometer
# sensor Resolution: 0.0047900393m/sec^2; Max Range: 156.96; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:UI
# units set to: Gravity
# gravity NOT filtered out
# Accuracy: HIGH
0.497 -5.458 -8.37 40
0.536 -5.937 -8.006 40
0.44 -6.397 -7.642 40
0.593 -6.627 -7.374 40
0.517 -7.029 -6.933 40
0.612 -7.565 -6.378 40
0.67 -7.814 -5.995 41
0.708 -8.063 -5.592 40
0.67 -8.331 -5.267 40
0.727 -8.485 -4.999 40
0.785 -8.542 -4.558 40
0.766 -8.848 -4.29 40
0.785 -8.906 -3.983 41
0.727 -8.944 -3.869 40
0.632 -8.944 -3.754 40
0.67 -9.059 -3.562 40
0.612 -9.097 -3.39 41
0.555 -9.078 -3.083 40
0.383 -9.002 -3.294 40
0.574 -9.251 -3.485 40
0.402 -9.232 -3.428 40
0.402 -9.251 -3.275 40
0.325 -9.232 -3.236 40
0.248 -9.193 -3.083 41
0.191 -9.232 -2.834 40
0.248 -9.289 -2.604 40
0.268 -9.289 -2.547 40
0.287 -9.346 -2.489 40
0.325 -9.442 -2.413 40
0.363 -9.461 -2.26 40
0.44 -9.461 -2.279 41
0.44 -9.481 -2.183 40
0.517 -9.519 -2.26 40
0.402 -9.423 -2.164 40
0.383 -9.481 -2.317 40
0.478 -9.576 -2.355 40
0.421 -9.481 -2.413 40
0.478 -9.519 -2.375 40
0.517 -9.481 -2.585 40
0.421 -9.461 -2.298 41
0.536 -9.615 -2.087 40
0.44 -9.538 -1.915 40
0.421 -9.557 -1.934 40
0.306 -9.481 -1.857 40
0.306 -9.481 -1.915 41
0.306 -9.481 -1.972 40
0.344 -9.519 -2.011 40
0.363 -9.519 -2.03 40
0.363 -9.442 -2.106 40
0.306 -9.481 -1.915 40
0.44 -9.576 -2.087 40
0.325 -9.538 -1.934 40
0.478 -9.576 -1.972 40
0.478 -9.5 -2.011 41
0.402 -9.5 -1.838 40
0.517 -9.557 -2.049 40
0.402 -9.423 -2.011 40
0.421 -9.5 -1.934 40
0.344 -9.519 -1.877 40
0.44 -9.519 -1.896 41
0.421 -9.557 -1.762 40
0.497 -9.5 -1.953 40
0.421 -9.442 -2.03 40
0.363 -9.519 -2.087 40
0.44 -9.538 -2.183 40
0.402 -9.5 -2.145 40
0.402 -9.519 -2.145 41
0.383 -9.5 -2.03 40
0.363 -9.461 -2.011 40
0.344 -9.481 -2.011 40
0.363 -9.519 -2.03 41
0.44 -9.519 -2.011 39
0.44 -9.519 -1.953 41
0.44 -9.519 -1.953 40
0.478 -9.557 -1.991 40
0.402 -9.557 -1.915 40
0.421 -9.538 -1.915 40
0.44 -9.538 -1.953 41
0.44 -9.538 -1.877 40
0.459 -9.576 -1.934 40
0.383 -9.557 -1.857 40
0.402 -9.519 -1.896 40
0.402 -9.538 -1.8 40
0.459 -9.595 -1.819 41
0.383 -9.519 -1.953 40
0.306 -9.538 -1.972 40
0.421 -9.634 -1.953 40
0.459 -9.538 -1.819 40
0.555 -9.595 -1.723 41
0.459 -9.519 -1.647 40
0.478 -9.576 -1.589 40
0.497 -9.538 -1.723 40
0.421 -9.557 -1.762 40
0.497 -9.557 -1.781 40
0.459 -9.538 -1.877 40
0.459 -9.595 -1.838 40
0.402 -9.5 -1.781 41
0.363 -9.538 -1.647 40
0.478 -9.538 -1.666 40
0.555 -9.615 -1.877 40
0.478 -9.557 -1.838 40
0.536 -9.519 -1.742 40
0.517 -9.595 -1.877 40
0.497 -9.519 -1.704 40
0.478 -9.5 -1.628 40
0.44 -9.5 -1.647 41
0.44 -9.5 -1.666 40
0.459 -9.538 -1.723 40
0.44 -9.576 -1.8 40
0.421 -9.519 -1.685 41
0.497 -9.595 -1.723 40
0.478 -9.595 -1.742 40
0.44 -9.576 -1.685 40
0.478 -9.576 -1.742 40
0.402 -9.595 -1.628 41
0.363 -9.538 -1.474 39
0.497 -9.557 -1.685 40
0.402 -9.519 -1.628 41
0.421 -9.557 -1.666 40
0.402 -9.595 -1.8 40
0.287 -9.557 -1.723 40
0.383 -9.538 -1.647 40
0.383 -9.595 -1.608 40
0.383 -9.557 -1.513 40
0.402 -9.557 -1.57 41
0.363 -9.576 -1.589 40
0.44 -9.595 -1.647 40
0.459 -9.615 -1.704 40
0.402 -9.595 -1.628 40
0.402 -9.615 -1.589 40
0.44 -9.615 -1.589 40
0.402 -9.595 -1.647 41
0.44 -9.634 -1.704 39
0.44 -9.615 -1.628 40
0.44 -9.595 -1.742 41
0.67 -9.442 -1.628 40
0.44 -9.346 -1.819 40
0.497 -9.423 -2.03 40
0.421 -9.73 -1.647 40
0.383 -9.844 -0.689 40
0.44 -9.768 0.095 40
0.268 -9.653 0.229 41
0.21 -9.634 0.268 40
